title,location,price_final_pen,bedroom,bathroom,area,year_contruction,maintenance_num,housing_type,operation_type
Apartamento en alquiler en Ur. Cabo Gc Juan Ingunza Valdivia (Vipol),"Ur. Cabo Gc Juan Ingunza Valdivia (Vipol), Callao, Callao, Callao ",1200.0,2 dormitorios,1 baño,73 m²,2015,20.0,Apartamento,Alquiler
Casa en alquiler en Ur. Daniel A. Carrion,"Ur. Daniel A. Carrion, Chiclayo, Chiclayo, Lambayeque ",4000.0,5 dormitorios,3 baños,200 m²,2022,150.0,Casa,Alquiler
Apartamento en alquiler en Ica,"Ica, Ica, Ica ",2300.0,1 dormitorio,1 baño,80 m²,2022,304.0,Apartamento,Alquiler
Casa en alquiler en Ur. Javier Prado (Cahuache),"Ur. Javier Prado (Cahuache), San Borja, Lima, Lima ",5700.0,7 dormitorios,4 baños,207 m²,1992,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. San Felipe,"Ur. San Felipe, Lince, Lima, Lima ",2800.0,3 dormitorios,2 baños,96 m²,2022,300.0,Apartamento,Alquiler
Apartamento en alquiler en Cajamarca,"Cajamarca, Cajamarca, Cajamarca ",1500.0,3 dormitorios,2 baños,110 m²,2022,304.0,Apartamento,Alquiler
Casa en alquiler en Ur. Javier Prado (Cahuache),"Ur. Javier Prado (Cahuache), San Borja, Lima, Lima ",5700.0,7 dormitorios,4 baños,1 Medio baño,2022,304.0,Casa,Alquiler
Habitación en alquiler en Cajamarca,"Cajamarca, Cajamarca, Cajamarca ",450.0,1 dormitorio,1 baño,20 m²,3,304.0,Habitación,Alquiler
Apartamento en alquiler en Ur. Santa Raquel Sector B Zona Este,"Ur. Santa Raquel Sector B Zona Este, La Molina, Lima, Lima ",1700.0,2 dormitorios,1 baño,68 m²,2015,100.0,Apartamento,Alquiler
Casa en alquiler en Cajamarca,"Cajamarca, Cajamarca, Cajamarca ",950.0,2 dormitorios,1 baño,146 m²,2022,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. Orbea,"Ur. Orbea, Magdalena del Mar, Lima, Lima ",240.0,2 dormitorios,2 baños,66 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",2900.0,2 dormitorios,2 baños,61 m²,2021,160.0,Apartamento,Alquiler
Habitación en alquiler en Cajamarca,"Cajamarca, Cajamarca, Cajamarca ",490.0,1 dormitorio,1 baño,20 m²,3,304.0,Habitación,Alquiler
Apartamento en alquiler en Cajamarca,"Cajamarca, Cajamarca, Cajamarca ",1000.0,3 dormitorios,1 baño,60 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Los Recaudadores,"Ur. Los Recaudadores, Ate, Lima, Lima ",2000.0,3 dormitorios,2 baños,92 m²,2014,304.0,Apartamento,Alquiler
Apartamento en alquiler en Cajamarca,"Cajamarca, Cajamarca, Cajamarca ",780.0,2 dormitorios,1 baño,75 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Cajamarca,"Cajamarca, Cajamarca, Cajamarca ",1390.0,2 dormitorios,1 baño,63 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. La Capilla (U-2),"Ur. La Capilla (U-2), La Molina, Lima, Lima ",1000.0,2 dormitorios,1 baño,35 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ",4650.0,3 dormitorios,3 baños,217 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",2550.0,3 dormitorios,2 baños,108 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Jesús María, Lima, Lima ",1100.0,1 dormitorio,1 baño,40 m²,2022,304.0,Apartamento,Alquiler
